AUDIT_ID,AUDIT_CATEGORY,AUDIT_RESULT,DATA_SOURCE,RECORD_ID,PRIOR_ID,PRIOR_SCORE,NEWER_ID,NEWER_SCORE
1,MISSING,same,CUSTOMERS,1017,1023,,3,
1,MISSING,same,CUSTOMERS,1016,1023,,3,
1,MISSING,same,CUSTOMERS,1018,1023,,3,
1,MISSING,same,CUSTOMERS,1015,1023,,3,
1,MISSING,missing,CUSTOMERS_PQ,1016,unknown,,3,+NAME+DOB+ADDRESS
1,MISSING,missing,CUSTOMERS_PQ,1015,unknown,,3,+NAME+DOB+ADDRESS+PHONE+EMAIL
1,MISSING,missing,CUSTOMERS_PQ,1018,unknown,,3,+NAME+DOB+PHONE
2,MISSING,missing,CUSTOMERS_PQ,1001,unknown,,1,+NAME+DOB+PHONE
2,MISSING,same,CUSTOMERS,1001,1001,,1,
2,MISSING,same,CUSTOMERS,1004,1001,,1,
2,MISSING,same,CUSTOMERS,1002,1001,,1,
2,MISSING,same,CUSTOMERS,1003,1001,,1,
2,MISSING,missing,CUSTOMERS_PQ,1002,unknown,,1,+NAME+DOB+ADDRESS+PHONE
2,MISSING,missing,CUSTOMERS_PQ,1004,unknown,,1,+NAME+DOB+ADDRESS+EMAIL
2,MISSING,missing,CUSTOMERS_PQ,1003,unknown,,1,+NAME+DOB+EMAIL
3,MISSING,same,CUSTOMERS,1019,1024,,8,
3,MISSING,missing,CUSTOMERS_PQ,1019,unknown,,8,+NAME+DOB+ADDRESS
4,MISSING,same,CUSTOMERS,1011,1021,,4,
4,MISSING,missing,CUSTOMERS_PQ,1009,unknown,,4,+NAME+DOB+ADDRESS+EMAIL
4,MISSING,missing,WATCHLIST_PQ,1012,unknown,,4,+NAME+DOB+ADDRESS
4,MISSING,same,CUSTOMERS,1010,1021,,4,
4,MISSING,missing,CUSTOMERS_PQ,1011,unknown,,4,+NAME+DOB+ADDRESS
4,MISSING,missing,CUSTOMERS_PQ,1010,unknown,,4,+NAME+DOB+ADDRESS
4,MISSING,same,WATCHLIST,1012,1021,,4,
4,MISSING,same,CUSTOMERS,1009,1021,,4,
4,MISSING,same,WATCHLIST,1014,1021,,4,
4,MISSING,missing,WATCHLIST_PQ,1014,unknown,,4,+NAME+DOB+ADDRESS
5,MISSING,same,CUSTOMERS,1020,1025,,7,
5,MISSING,same,WATCHLIST,1021,1025,,7,
5,MISSING,missing,CUSTOMERS_PQ,1020,unknown,,7,+NAME+DOB+ADDRESS
6,MISSING,same,CUSTOMERS,1022,1031,,15,
6,MISSING,missing,WATCHLIST_PQ,1024,unknown,,15,+NAME+DOB
6,MISSING,missing,CUSTOMERS_PQ,1022,unknown,,15,+NAME+DOB
6,MISSING,same,CUSTOMERS,1023,1031,,15,
6,MISSING,missing,CUSTOMERS_PQ,1023,unknown,,15,+NAME+DOB
6,MISSING,same,WATCHLIST,1024,1031,,15,
7,MISSING,same,CUSTOMERS,1025,1032,,17,
7,MISSING,missing,CUSTOMERS_PQ,1025,unknown,,17,+NAME+DOB
8,MISSING,same,CUSTOMERS,1026,1033,,18,
8,MISSING,missing,CUSTOMERS_PQ,1026,unknown,,18,+NAME+DOB
9,MISSING,same,CUSTOMERS,1005,1002,,9,
9,MISSING,same,WATCHLIST,1006,1002,,9,
9,MISSING,missing,WATCHLIST_PQ,1006,unknown,,9,+NAME+DOB+ADDRESS
10,MISSING,same,CUSTOMERS,1028,1041,,19,
10,MISSING,missing,CUSTOMERS_PQ,1028,unknown,,19,+NAME+ADDRESS
11,MISSING,same,CUSTOMERS,1040,1082,,28,
11,MISSING,missing,CUSTOMERS_PQ,1040,unknown,,28,+NAME+DOB+ADDRESS
12,MISSING,same,CUSTOMERS,1057,1131,,43,
12,MISSING,missing,CUSTOMERS_PQ,1057,unknown,,43,+NAME+EMAIL
13,MISSING,same,CUSTOMERS,1031,1051,,20,
13,MISSING,same,CUSTOMERS,1030,1051,,20,
13,MISSING,missing,CUSTOMERS_PQ,1030,unknown,,20,+NAME+DOB+ADDRESS
13,MISSING,missing,CUSTOMERS_PQ,1031,unknown,,20,+NAME+DOB+ADDRESS
14,MISSING,same,CUSTOMERS,1054,1122,,41,
14,MISSING,missing,CUSTOMERS_PQ,1056,unknown,,41,+NAME+DOB+ADDRESS
14,MISSING,same,CUSTOMERS,1056,1122,,41,
14,MISSING,missing,CUSTOMERS_PQ,1054,unknown,,41,+NAME+DOB+ADDRESS
15,MISSING,same,CUSTOMERS,1039,1081,,27,
15,MISSING,missing,CUSTOMERS_PQ,1039,unknown,,27,+NAME+DOB+ADDRESS
16,MISSING,same,CUSTOMERS,1043,1091,,29,
16,MISSING,same,CUSTOMERS,1045,1091,,29,
16,MISSING,missing,CUSTOMERS_PQ,1043,unknown,,29,+NAME+DOB+ADDRESS
17,MISSING,same,CUSTOMERS,1049,1101,,32,
17,MISSING,same,CUSTOMERS,1047,1101,,32,
17,MISSING,same,CUSTOMERS,1048,1101,,32,
17,MISSING,missing,CUSTOMERS_PQ,1049,unknown,,32,+NAME+EMAIL
17,MISSING,missing,CUSTOMERS_PQ,1048,unknown,,32,+NAME+EMAIL
17,MISSING,missing,CUSTOMERS_PQ,1047,unknown,,32,+NAME+EMAIL
18,MISSING,same,CUSTOMERS,1055,1121,,39,
18,MISSING,same,CUSTOMERS,1053,1121,,39,
18,MISSING,missing,CUSTOMERS_PQ,1053,unknown,,39,+NAME+ADDRESS
18,MISSING,missing,CUSTOMERS_PQ,1055,unknown,,39,+NAME+ADDRESS
19,MISSING,missing,WATCHLIST_PQ,1037,unknown,,24,+NAME+DOB+ADDRESS+EMAIL
19,MISSING,same,CUSTOMERS,1034,1071,,24,
19,MISSING,same,CUSTOMERS,1035,1071,,24,
19,MISSING,missing,WATCHLIST_PQ,1038,unknown,,24,+NAME+DOB+ADDRESS+EMAIL
19,MISSING,missing,CUSTOMERS_PQ,1036,unknown,,24,+NAME+DOB+ADDRESS
19,MISSING,same,CUSTOMERS,1036,1071,,24,
19,MISSING,missing,CUSTOMERS_PQ,1035,unknown,,24,+NAME+DOB+ADDRESS
19,MISSING,missing,CUSTOMERS_PQ,1034,unknown,,24,+NAME+DOB+ADDRESS+EMAIL
19,MISSING,same,WATCHLIST,1037,1071,,24,
19,MISSING,same,WATCHLIST,1038,1071,,24,
20,MISSING,same,CUSTOMERS,1044,1092,,30,
20,MISSING,same,CUSTOMERS,1046,1092,,30,
20,MISSING,missing,CUSTOMERS_PQ,1044,unknown,,30,+NAME+DOB+ADDRESS
21,MISSING,same,CUSTOMERS,1032,1061,,22,
21,MISSING,same,CUSTOMERS,1033,1061,,22,
21,MISSING,missing,CUSTOMERS_PQ,1033,unknown,,22,+NAME+DOB+ADDRESS+PHONE
21,MISSING,missing,CUSTOMERS_PQ,1032,unknown,,22,+NAME+DOB+PHONE
22,MISSING,same,CUSTOMERS,1051,1111,,36,
22,MISSING,same,CUSTOMERS,1050,1111,,36,
22,MISSING,same,CUSTOMERS,1052,1111,,36,
22,MISSING,missing,CUSTOMERS_PQ,1051,unknown,,36,+NAME+DOB
22,MISSING,missing,CUSTOMERS_PQ,1050,unknown,,36,+NAME+DOB
23,MISSING,same,CUSTOMERS,1060,1141,,45,
23,MISSING,same,CUSTOMERS,1059,1141,,45,
23,MISSING,missing,CUSTOMERS_PQ,1060,unknown,,45,+NAME+PHONE
23,MISSING,missing,CUSTOMERS_PQ,1059,unknown,,45,+NAME+PHONE
24,MISSING,same,CUSTOMERS,1061,1151,,47,
24,MISSING,missing,CUSTOMERS_PQ,1061,unknown,,47,+PHONE
24,MISSING,same,CUSTOMERS,1062,1151,,47,
24,MISSING,missing,CUSTOMERS_PQ,1062,unknown,,47,+PHONE
25,MISSING,missing,CUSTOMERS_PQ,1069,unknown,,54,+NAME+DOB+ADDRESS
25,MISSING,same,CUSTOMERS,1069,1171,,54,
25,MISSING,missing,CUSTOMERS_PQ,1070,unknown,,54,+NAME+DOB+ADDRESS
25,MISSING,same,CUSTOMERS,1070,1171,,54,
